OBJECTID,RID,GENERIC_CASE_ID,GENERIC_OFFENDER_ID,CHARGE_NUMBER,SENTENCE_YEAR,RACE,GENDER,AGE_GROUP,OFFENSE,OFFENSE_TYPE,HOMICIDE_TYPE,OFFENSE_SEVERITY_GROUP,SENTENCE_TYPE,SENTENCE_IMPOSED_MONTHS,SENTENCE_SUSPENDED_MONTHS,SENTENCE_TO_SERVE_MONTHS,SENTENCE_PROBATION_MONTHS,VVCA_AMT,FINE_AMT,RESTITUTION_AMT,FINE_SUSPENDED_AMT
22,22,8567971,8258401,14,2018,Black,M,22-30,ADW GUN,Violent,,M6,Incarceration,1,0,1,0,100,,,0
23,23,3815780,7420298,1,2018,Black,M,41-50,Distribution Of a Controlled Substance,Drug,,D2,Probation,28,28,0,12,100,0,0,0
24,24,4624292,1132304,1,2018,Black,M,22-30,Murder II,Homicide,Murder II,M2,Incarceration,180,0,180,0,100,0,0,0
25,25,5715159,3521895,1,2018,Black,M,41-50,Prison Breach,Other,,M9,Short Split,12,10,1,36,100,0,0,0
26,26,6097081,6175361,12,2018,Black,M,18-21,Burglary One,Property,,M3,Incarceration,144,0,144,0,100,0,0,0
27,27,6097081,6175361,13,2018,Black,M,18-21,Kidnapping,Violent,,M3,Incarceration,144,0,144,0,100,0,0,0
28,28,6097081,6175361,14,2018,Black,M,18-21,First Degree Sexual Abuse,Sex,,M2,Incarceration,276,0,276,0,100,0,0,0
29,29,9239631,656851,1,2018,Black,M,41-50,Murder II,Homicide,Murder II,M2,Incarceration,288,0,288,0,100,0,204503,0
30,30,9239631,656851,2,2018,Black,M,41-50,Murder I,Homicide,Murder I,M1,Incarceration,360,0,360,0,100,0,0,0
31,31,9239631,656851,4,2018,Black,M,41-50,1st Degree Cruelty to Children (Grave Risk),Violent,,M6,Incarceration,60,0,60,0,100,0,0,0
32,32,9239631,656851,6,2018,Black,M,41-50,Threat to Kidnap or Injure a Person,Violent,,M8,Incarceration,24,0,24,0,100,0,0,0
33,33,9368587,1310615,1,2018,Black,M,51-60,Poss W/I to Dist a Controlled Substance,Drug,,D2,Incarceration,24,0,24,0,100,0,0,0
34,34,7754680,5777781,3,2018,White,M,22-30,Assault with Significant Bodily Injury,Violent,,M8,Short Split,18,14,4,12,100,0,2160.34,0
35,35,5616382,1132304,1,2018,Black,M,22-30,Murder II,Homicide,Murder II,M2,Incarceration,240,0,240,0,100,0,0,0
36,36,3421384,2541516,1,2018,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D3,Incarceration,1,0,1,0,100,0,0,0
37,37,1869831,5293157,1,2018,Black,M,22-30,Murder II,Homicide,Murder II,M2,Incarceration,240,0,240,0,100,0,0,0
38,38,5743008,8854827,3,2018,White,M,22-30,Aggravated Assault Knowingly,Violent,,M6,Short Split,24,18,6,18,100,0,0,0
39,39,5743008,8854827,4,2018,White,M,22-30,Assault With A Dangerous Weapon,Violent,,M6,Short Split,18,15,3,18,100,0,0,0
40,40,5743008,8854827,5,2018,White,M,22-30,Assault With A Dangerous Weapon,Violent,,M6,Short Split,24,18,6,18,100,0,0,0
41,41,205665,9232159,1,2018,Black,M,18-21,First Degree Child Sex Abuse,Sex,,M3,Long Split,100,70,30,60,100,1000,0,0
42,42,1207629,9241403,4,2018,Black,M,18-21,Contempt - Felony,Other,,M9,Short Split,3,3,1,24,100,0,0,0
43,43,1207629,9241403,5,2018,Black,M,18-21,Obstruction Justice (Due Administration),Other,,M5,Short Split,36,36,1,24,100,0,0,0
44,44,1207629,9241403,6,2018,Black,M,18-21,Conspiracy,Other,,M9,Short Split,2,2,1,24,100,0,0,0
45,45,6339280,1870518,4,2018,Black,M,41-50,Robbery,Violent,,M6,Incarceration,36,0,36,0,100,0,0,0
46,46,6339280,1870518,9,2018,Black,M,41-50,"Obstructing Justice (Witness or Officer) (Influence, Delay)",Other,,M5,Incarceration,72,0,72,0,100,0,0,0
47,47,7383543,7932082,1,2018,Black,M,51-60,Burglary Two,Property,,M7,Incarceration,36,0,36,0,100,0,0,0
48,48,7383543,7932082,2,2018,Black,M,51-60,Robbery,Violent,,M6,Incarceration,48,0,48,0,100,0,0,0
49,49,8905743,6203919,1,2018,Black,M,22-30,Robbery,Violent,,M6,Short Split,60,60,1,24,100,0,0,0
50,50,950526,8838956,1,2018,Black,M,22-30,Robbery,Violent,,M5,Incarceration,60,0,60,0,100,0,0,0
51,51,950526,8838956,2,2018,Black,M,22-30,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0
52,52,950526,8838956,3,2018,Black,M,22-30,Felony Murder,Homicide,Murder I,M1,Incarceration,360,0,360,0,100,0,0,0
53,53,950526,8838956,4,2018,Black,M,22-30,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0
54,54,950526,8838956,5,2018,Black,M,22-30,Murder II,Homicide,Murder II,M2,Incarceration,180,0,180,0,100,0,0,0
55,55,950526,8838956,6,2018,Black,M,22-30,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0
56,56,950526,8838956,7,2018,Black,M,22-30,Burglary One,Property,,M3,Incarceration,120,0,120,0,100,0,0,0
57,57,950526,8838956,8,2018,Black,M,22-30,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0
58,58,950526,8838956,9,2018,Black,M,22-30,Tampering With Physical Evidence,Other,,M9,Incarceration,10,0,10,0,100,0,0,0
59,59,950526,8838956,10,2018,Black,M,22-30,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,20,0,20,0,100,0,0,0
60,60,950526,8838956,11,2018,Black,M,22-30,Obstructing Justice,Other,,M5,Incarceration,60,0,60,0,100,0,0,0
61,61,9144569,2316177,1,2018,Black,M,18-21,Robbery,Violent,,M5,Incarceration,60,0,60,0,100,0,0,0
62,62,9144569,2316177,2,2018,Black,M,18-21,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0
63,63,9144569,2316177,3,2018,Black,M,18-21,Felony Murder,Homicide,Murder I,M1,Incarceration,360,0,360,0,100,0,0,0
64,64,9144569,2316177,4,2018,Black,M,18-21,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0
65,65,9144569,2316177,5,2018,Black,M,18-21,Murder II,Homicide,Murder II,M2,Incarceration,180,0,180,0,100,0,0,0
66,66,9144569,2316177,6,2018,Black,M,18-21,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0
67,67,9144569,2316177,7,2018,Black,M,18-21,Burglary One,Property,,M3,Incarceration,120,0,120,0,100,0,0,0
68,68,9144569,2316177,8,2018,Black,M,18-21,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0
69,69,9144569,2316177,9,2018,Black,M,18-21,Tampering With Physical Evidence,Other,,M9,Incarceration,10,0,10,0,100,0,0,0
70,70,9144569,2316177,10,2018,Black,M,18-21,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,20,0,20,0,100,0,0,0
71,71,9144569,2316177,11,2018,Black,M,18-21,"Obstructing Justice (Witness or Officer) (Influence, Delay)",Other,,M5,Incarceration,60,0,60,0,100,0,0,0
72,72,9898886,4188895,1,2018,Black,F,22-30,1st Degree Cruelty to Children,Violent,,M6,Incarceration,60,0,60,0,100,0,0,0
73,73,9898886,4188895,2,2018,Black,F,22-30,1st Degree Cruelty to Children,Violent,,M6,Incarceration,60,0,60,0,100,0,0,0
74,74,9898886,4188895,3,2018,Black,F,22-30,1st Degree Cruelty to Children,Violent,,M6,Incarceration,60,0,60,0,100,0,0,0
75,75,9898886,4188895,4,2018,Black,F,22-30,Murder I,Homicide,Murder I,M1,Incarceration,480,0,480,0,100,0,0,0
76,76,9898886,4188895,5,2018,Black,F,22-30,Murder I,Homicide,Murder I,M1,Incarceration,480,0,480,0,100,0,0,0
77,77,5055633,730898,1,2018,Black,M,22-30,Conspiracy,Other,,M9,Short Split,3,3,1,0,100,0,0,0
78,78,5055633,730898,2,2018,Black,M,22-30,Obstructing Justice,Other,,M5,Incarceration,40,0,40,0,100,0,0,0
79,79,6123063,1267366,1,2018,Black,M,22-30,First Degree Sexual Abuse,Sex,,M5,Incarceration,108,0,108,0,100,0,0,0
80,80,7217449,4524198,1,2018,Black,M,22-30,Voluntary Manslaughter,Homicide,Voluntary Manslaughter,M4,Incarceration,48,0,48,0,100,0,0,0
81,81,5435044,3576035,9,2018,Black,M,22-30,Unlawful Possession of a Firearm (Intrafamily Offense),Weapon,,M8,Short Split,24,18,6,20,100,0,0,0
82,82,713587,1275776,3,2018,Black,M,22-30,Attempt to Commit Robbery,Violent,,M8,Incarceration,20,0,20,0,100,0,0,0
83,83,9106219,7912162,1,2018,Black,M,22-30,Murder I,Homicide,Murder I,M1,Incarceration,420,0,420,0,100,0,0,0
84,84,9106219,7912162,2,2018,Black,M,22-30,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,84,0,84,0,100,0,0,0
85,85,9106219,7912162,3,2018,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,60,0,60,0,100,0,0,0
86,86,9106219,7912162,4,2018,Black,M,22-30,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,84,0,84,0,100,0,0,0
87,87,9106219,7912162,5,2018,Black,M,22-30,Unlawful Possession of a Firearm ( Prior Crime of Violence),Weapon,,M6,Incarceration,36,0,36,0,100,0,0,0
88,88,7722632,794020,2,2018,Black,M,51-60,Kidnapping,Violent,,M5,Incarceration,48,0,48,0,100,0,0,0
89,89,9764320,7929527,1,2018,Black,M,18-21,Voluntary Manslaughter,Homicide,Voluntary Manslaughter,M3,Incarceration,144,0,144,0,100,0,0,0
90,90,5066597,2139693,1,2018,Black,F,41-50,Fraud 2nd Degree $1000 or More (Felony),Other,,M9,Short Split,12,10,2,60,100,0,6000,0
91,91,3178316,5563980,3,2018,Black,M,18-21,Robbery,Violent,,M6,Incarceration,54,0,54,0,100,0,0,0
92,92,3178316,5563980,6,2018,Black,M,18-21,Attempt to Commit Robbery,Violent,,M8,Incarceration,32,0,32,0,100,0,0,0
93,93,3178316,5563980,9,2018,Black,M,18-21,Theft First Degree,Property,,M8,Incarceration,32,0,32,0,100,0,0,0
94,94,6604251,9424651,1,2018,Black,F,22-30,Burglary Two,Property,,M7,Incarceration,30,0,30,0,100,0,0,0
95,95,2321299,302822,1,2018,Black,F,41-50,Theft Second Degree - Felony,Property,,M9,Incarceration,14,0,14,0,100,0,0,0
96,96,5545736,2272386,2,2018,Black,M,22-30,Tampering With Physical Evidence,Other,,M9,Incarceration,1,0,1,0,100,0,0,0
97,97,1198492,8733302,1,2018,Black,M,22-30,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Short Split,24,24,1,12,100,0,0,0
98,98,8586976,2448556,1,2018,Black,M,22-30,Flee Law Enforcement Officer,Other,,M8,Incarceration,18,0,18,0,100,0,0,0
99,99,6679581,3634676,6,2018,Black,M,31-40,Destruction of Property $1000 or More,Property,,M8,Incarceration,23,0,23,0,100,0,0,0
100,100,9680298,7246834,1,2018,Black,M,18-21,Assault With A Dangerous Weapon,Violent,,M6,Probation,18,18,0,24,100,0,0,0
101,101,9680298,7246834,9,2018,Black,M,18-21,Carrying a Pistol Without a License (Outside Home or Place of Business) 2014,Weapon,,M8,Probation,6,6,0,12,100,0,0,0
102,102,5313700,547980,1,2018,Black,M,51-60,Poss W/I to Dist a Controlled Substance,Drug,,D2,Probation,12,12,0,9,100,0,0,0
103,103,5942645,4261278,7,2018,Black,M,22-30,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,96,0,96,0,100,0,0,0
104,104,5942645,4261278,8,2018,Black,M,22-30,Carrying a Pistol Without a License (Outside Home or Place of Business/Prior Felony) 2015,Weapon,,M8,Incarceration,28,0,28,0,100,0,0,0
105,105,5942645,4261278,9,2018,Black,M,22-30,Obstruction Justice (Due Administration),Other,,M5,Incarceration,180,0,180,0,100,0,0,0
106,106,5942645,4261278,10,2018,Black,M,22-30,Tampering With Physical Evidence,Other,,M9,Incarceration,16,0,16,0,100,0,0,0
107,107,3050387,5516554,1,2018,Black,M,18-21,Robbery,Violent,,M6,Probation,24,24,0,12,100,0,0,0
108,108,3050387,5516554,8,2018,Black,M,18-21,Robbery,Violent,,M8,Probation,12,12,0,12,100,0,0,0
109,109,3050387,5516554,14,2018,Black,M,18-21,Carrying a Pistol Without a License (Outside Home or Place of Business) 2014,Weapon,,M8,Probation,12,12,0,12,100,0,0,0
110,110,734718,4511944,1,2018,White,M,31-40,First Degree Child Sex Abuse,Sex,,M3,Incarceration,117,0,117,0,100,0,0,0
111,111,734718,4511944,2,2018,White,M,31-40,First Degree Child Sex Abuse,Sex,,M3,Incarceration,117,0,117,0,100,0,0,0
112,112,734718,4511944,3,2018,White,M,31-40,Second Degree Child Sex Abuse,Sex,,M6,Incarceration,48,0,48,0,100,0,0,0
113,113,734718,4511944,4,2018,White,M,31-40,Second Degree Child Sex Abuse,Sex,,M6,Incarceration,48,0,48,0,100,0,0,0
114,114,734718,4511944,6,2018,White,M,31-40,First Degree Child Sex Abuse,Sex,,M3,Incarceration,117,0,117,0,100,0,0,0
115,115,734718,4511944,7,2018,White,M,31-40,First Degree Child Sex Abuse,Sex,,M3,Incarceration,117,0,117,0,100,0,0,0
116,116,734718,4511944,8,2018,White,M,31-40,Second Degree Child Sex Abuse,Sex,,M6,Incarceration,48,0,48,0,100,0,0,0
117,117,7704557,4407567,1,2018,Black,M,18-21,Murder I,Homicide,Murder I,M1,Incarceration,420,0,420,0,100,0,0,0
118,118,6464811,1944760,1,2018,Black,M,22-30,Murder I,Homicide,Murder I,M1,Incarceration,480,0,480,0,100,0,0,0
119,119,6464811,1944760,2,2018,Black,M,22-30,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0
120,120,6464811,1944760,3,2018,Black,M,22-30,Attempt to Commit Robbery,Violent,,M6,Incarceration,60,0,60,0,100,0,0,0
121,121,6464811,1944760,4,2018,Black,M,22-30,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0
122,122,6464811,1944760,5,2018,Black,M,22-30,Felony Murder,Homicide,Murder I,M1,Incarceration,480,0,480,0,100,0,0,0
123,123,6464811,1944760,6,2018,Black,M,22-30,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0
124,124,6464811,1944760,7,2018,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,60,0,60,0,100,0,0,0
125,125,6464811,1944760,8,2018,Black,M,22-30,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0
126,126,6464811,1944760,9,2018,Black,M,22-30,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,36,0,36,0,100,0,0,0
127,127,4300289,7438760,7,2018,Black,M,22-30,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M8,Incarceration,24,0,24,0,100,0,0,0
128,128,7381601,9992470,1,2018,Black,M,22-30,Assault with Significant Bodily Injury,Violent,,M8,Incarceration,24,0,24,0,100,0,0,0
129,129,4656604,9553052,1,2018,Black,M,22-30,First Degree Child Sex Abuse,Sex,,M3,Incarceration,106,0,106,0,100,0,0,0
130,130,4656604,9553052,2,2018,Black,M,22-30,Second Degree Child Sex Abuse,Sex,,M8,Incarceration,12,0,12,0,100,0,0,0
131,131,4656604,9553052,3,2018,Black,M,22-30,Sexual Performance Using Minors,Sex,,M8,Incarceration,12,0,12,0,100,0,0,0
132,132,4656604,9553052,4,2018,Black,M,22-30,Second Degree Child Sex Abuse,Sex,,M8,Incarceration,12,0,12,0,100,0,0,0
133,133,9709295,8424793,5,2018,White,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D3,Incarceration,6,0,6,0,100,0,0,0
134,134,1771788,7788356,1,2018,Black,M,51-60,Distribution Of a Controlled Substance,Drug,,D3,Probation,12,12,0,12,100,0,0,0
135,135,8580213,3636884,1,2018,Black,M,61-70,Assault With A Dangerous Weapon,Violent,,M8,Incarceration,9,0,9,0,100,0,0,0
136,136,9262590,2638051,1,2018,Black,M,18-21,Voluntary Manslaughter,Homicide,Voluntary Manslaughter,M4,Incarceration,180,0,180,0,100,0,0,0
137,137,9262590,2638051,7,2018,Black,M,18-21,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,30,0,30,0,100,0,0,0
138,138,9262590,2638051,10,2018,Black,M,18-21,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,30,0,30,0,100,0,0,0
139,139,3877161,8746500,1,2018,Black,M,18-21,Attempt to Commit Robbery,Violent,,M8,Short Split,24,23,1,12,100,0,0,0
140,140,8793462,9844689,1,2018,Black,M,22-30,Involuntary Manslaughter,Homicide,Involuntary Manslaughter,M5,Incarceration,66,0,66,0,100,0,0,0
141,141,6284919,8135200,2,2018,Black,M,41-50,Poss W/I to Dist a Controlled Substance,Drug,,D3,Probation,18,18,0,12,100,0,0,0
142,142,6523179,446546,1,2018,Black,M,18-21,Voluntary Manslaughter,Homicide,Voluntary Manslaughter,M3,Incarceration,180,0,180,0,100,0,0,0
143,143,6523179,446546,2,2018,Black,M,18-21,Assault W/I to Commit Robbery,Violent,,M6,Incarceration,36,0,36,0,100,0,0,0
144,144,2645239,3402723,1,2018,Black,M,22-30,"Obstructing Justice (Witness or Officer) (Influence, Delay)",Other,,M5,Incarceration,15,0,15,0,100,0,0,0
145,145,2645239,3402723,2,2018,Black,M,22-30,Murder I,Homicide,Murder I,M1,Incarceration,540,0,540,0,100,0,0,0
146,146,2645239,3402723,3,2018,Black,M,22-30,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,81,0,81,0,100,0,0,0
147,147,2645239,3402723,4,2018,Black,M,22-30,Assault W/I to Kill,Violent,,M3,Incarceration,153,0,153,0,100,0,0,0
148,148,2645239,3402723,5,2018,Black,M,22-30,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,81,0,81,0,100,0,0,0
149,149,2645239,3402723,6,2018,Black,M,22-30,Aggravated Aslt-Grave Risk,Violent,,M4,Incarceration,108,0,108,0,100,0,0,0
150,150,2645239,3402723,7,2018,Black,M,22-30,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,81,0,81,0,100,0,0,0
151,151,2645239,3402723,8,2018,Black,M,22-30,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,36,0,36,0,100,0,0,0
152,152,2645239,3402723,9,2018,Black,M,22-30,"Obstructing Justice (Witness or Officer) (Influence, Delay)",Other,,M5,Incarceration,81,0,81,0,100,0,0,0
153,153,2645239,3402723,10,2018,Black,M,22-30,Obstruction Justice (Injury/Property Damage-Giving Information),Other,,M5,Incarceration,81,0,81,0,100,0,0,0
154,154,2645239,3402723,11,2018,Black,M,22-30,Obstruction Justice (Due Administration),Other,,M5,Incarceration,81,0,81,0,100,0,0,0
155,155,8008156,4769753,1,2018,Black,M,22-30,Robbery,Violent,,M8,Long Split,24,6,18,6,100,0,0,0
156,156,9825246,4448310,3,2018,Black,M,18-21,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,30,0,30,0,100,0,0,0
157,157,3674509,8032350,2,2018,Black,M,22-30,Conspiracy to Commit a Crime of Violence,Other,,M7,Incarceration,30,0,30,0,100,0,0,0
158,158,3674509,8032350,3,2018,Black,M,22-30,Robbery,Violent,,M5,Incarceration,30,0,30,0,100,0,0,0
159,159,3940417,594031,1,2018,Black,M,22-30,Contempt - Felony,Other,,M9,Incarceration,4,0,4,0,100,0,0,0
160,160,8106332,1085432,3,2018,Black,M,31-40,Unlawful Possession of a Firearm ( Prior Crime of Violence),Weapon,,M6,Incarceration,36,0,36,0,100,0,0,0
161,161,4059414,9373417,1,2018,Black,M,22-30,Murder II,Homicide,Murder II,M2,Incarceration,144,0,144,0,100,0,0,0
162,162,7072036,1685219,2,2018,Black,M,41-50,Poss W/I to Dist a Controlled Substance,Drug,,D3,Probation,24,24,0,18,100,0,0,0
163,163,9414485,7941611,1,2018,Black,M,31-40,Burglary One,Property,,M8,Short Split,18,18,1,12,100,0,0,0
164,164,9414485,7941611,3,2018,Black,M,31-40,Assault with Significant Bodily Injury,Violent,,M8,Short Split,18,18,1,12,100,0,0,0
165,165,8352275,1294014,7,2018,Black,M,22-30,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Probation,12,12,0,12,100,0,0,0
166,166,3737934,6663085,2,2018,Black,M,51-60,Carrying a Pistol Without a License (Outside Home or Place of Business/Prior Felony) 2015,Weapon,,M8,Incarceration,1,0,1,0,100,0,0,0
167,167,4146210,2743327,1,2018,Black,M,51-60,Distribution Of a Controlled Substance,Drug,,D3,Probation,14,14,0,6,100,0,0,0
168,168,5040871,533013,1,2018,Black,M,22-30,Involuntary Manslaughter,Homicide,Involuntary Manslaughter,M5,Incarceration,84,0,84,0,100,0,0,0
169,169,5040871,533013,2,2018,Black,M,22-30,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,84,0,84,0,100,0,0,0
170,170,5040871,533013,3,2018,Black,M,22-30,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,18,0,18,0,100,0,0,0
171,171,2490835,4818688,1,2018,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D2,Incarceration,16,0,16,0,100,0,0,0
172,172,2490835,4818688,7,2018,Black,M,22-30,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,18,0,18,0,100,0,0,0
173,173,4745557,6060438,1,2018,Black,M,22-30,Receiving Stolen Property $1000 or More,Property,,M9,Probation,12,12,0,16,100,0,781.01,0
174,174,1226634,6108402,3,2018,Black,M,22-30,Robbery,Violent,,M6,Incarceration,60,0,60,0,100,0,0,0
175,175,5129797,2122692,5,2018,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,24,0,24,0,100,0,0,0
176,176,5129797,2122692,8,2018,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,24,0,24,0,100,0,0,0
177,177,6139776,6252491,2,2018,Black,M,15-17,Murder II,Homicide,Murder II,M2,Incarceration,120,0,120,0,100,0,0,0
178,178,2071465,6458013,2,2018,Black,M,22-30,Robbery,Violent,,M5,Incarceration,72,0,72,0,100,0,0,0
179,179,2071465,6458013,6,2018,Black,M,22-30,Armed Carjacking,Violent,,M3,Incarceration,180,0,180,0,100,0,0,0
180,180,4109102,3260719,1,2018,Black,M,18-21,Voluntary Manslaughter,Homicide,Voluntary Manslaughter,M3,Incarceration,138,0,138,0,100,0,0,0
181,181,4109102,3260719,50,2018,Black,M,18-21,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,42,0,42,0,100,0,0,0
182,182,4109102,3260719,53,2018,Black,M,18-21,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,42,0,42,0,100,0,0,0
183,183,8950163,3077269,2,2018,Black,M,22-30,Carrying a Pistol Without a License (Outside Home or Place of Business/Prior Felony) 2015,Weapon,,M8,Incarceration,1,0,1,0,100,0,0,0
184,184,4015221,8104651,2,2018,Black,M,31-40,Felony Murder,Homicide,Murder I,M1,Incarceration,420,0,420,0,100,0,0,0
185,185,4015221,8104651,3,2018,Black,M,31-40,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,120,0,120,0,100,0,0,0
186,186,4015221,8104651,4,2018,Black,M,31-40,Burglary One,Property,,M3,Incarceration,120,0,120,0,100,0,0,0
187,187,4015221,8104651,5,2018,Black,M,31-40,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,120,0,120,0,100,0,0,0
188,188,4015221,8104651,6,2018,Black,M,31-40,Felony Murder,Homicide,Murder I,M1,Incarceration,420,0,420,0,100,0,0,0
